December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Dichocoenia,stokesii,,,09-258,29781.svs,Hematoxylin & Eosin,1378,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Unusual bleaching pattern, biopsy",none,,Florida Keys Disease Course: Unusual Bleaching Pattern,"Looe Key, Buoy 13",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Diploria,clivosa,,,08-229 M 1,29782.svs,Hematoxylin & Eosin,1379,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Orange & Yellow Labels, growth anomaly, margin with normal",105,,Florida Keys Disease Course: Diploria clivosa,"Sugarloaf Reef, Florida Keys",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Diploria,clivosa,,,08-229 U 1,30228.svs,Hematoxylin & Eosin,1437,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Orange & White Labels, apparently healthy normal growth pattern",106,,Florida Keys Disease Course: Diploria clivosa,"Sugarloaf Reef, Florida Keys",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Stephanocoenia,intersepta,,,08-227-1,29784.svs,Hematoxylin & Eosin,1380,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Brown, Yellow, & Red Labels, dark spots disease? Micocolonies of bacteria, rickettsia?",no #,,Florida Keys Disease Course: Stephanocoenia Dark Spots,"Sugarloaf Reef, Florida Keys",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Siderastrea,siderea,,,08-226 BL-3 1,29785.svs,Hematoxylin & Eosin,1381,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal",Blue & Yellow Labels,3,,Florida Keys Disease Course: Siderastrea Bullseye Bleaching,"Sugarloaf Reef, Florida Keys",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Siderastrea,siderea,,,08-226 D 3 1,29786.svs,Hematoxylin & Eosin,1382,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Blue & Red Lables, tissue loss margin",no #,,Florida Keys Disease Course: Siderastrea Bullseye Bleaching,"Sugarloaf Reef, Florida Keys",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Montastraea,faveolata,,,08-222-5 1,29787.svs,Hematoxylin & Eosin,1383,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal",Healthy colony sample,4 (white),,Florida Keys Disease Course: Black Band Disease,"Wonderland Reef, Florida Keys",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Montastraea,faveolata,,,08-225 D4 1,29788.svs,Hematoxylin & Eosin,1384,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal",Black band diseased margin,5 (red),,Florida Keys Disease Course: Black Band Disease,"Wonderland Reef, Florida Keys",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Montastraea,faveolata,,,08-225 U 1,29789.svs,Hematoxylin & Eosin,1385,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal",Unaffected on black band diseased colony,5 (yellow),,Florida Keys Disease Course: Black Band Disease,"Wonderland Reef, Florida Keys",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Montastraea,faveolata,,,07-186 1,29790.svs,Hematoxylin & Eosin,1386,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Suspect Montastraeadiscoloring/denuding disease, healthy-appearing tissue",1-White,,Florida Keys Disease Course: Discoloring/Denuding Disease,"Jaap Reef, FKNMS, 10-ft.",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Montastraea,faveolata,,,07-189 1,29791.svs,Hematoxylin & Eosin,1387,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Suspect Montastraea discoloring/denuding disease, healthy-appearing tissue",2-White,,Florida Keys Disease Course: Discoloring/Denuding Disease,"Jaap Reef, FKNMS, 10-ft.",,,
