Source,Contributor,Genus,Species,Slide Number/Description,Aperio Filename,Stain,Accession Number,Processing,Comments,Date Collected,Date Received,Date Sent To Aperio,Sample,Infect/Non,Study,Collection Site,Histopathologic Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,55 T2-24,55T224.svs,H&E,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,55 10,55Cason.svs,Cason's,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,55 T2-21,55T221.svs,Gram,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,56 X5,56X5.svs,H&E,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,56 T8,56T8.svs,H&E,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,56 T2,56T2.svs,Gram,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,57 R2,57R2.svs,H&E,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,57 R11,57R11.svs,H&E,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,57 T2,57T2.svs,Gram,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McLaughlin,Acropora,cervicornis,57,57Cason.svs,Cason's ,,,,,2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Sanfelice 6:22
Formic A H&E",Sanfelice1.svs,H&E,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Sanfelice 8:30
Formic H&E",Sanfelice2.svs,H&E,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Sanf 6:20
Cal-Rite H&E",Sanfelice3.svs,H&E,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Sanfelice 8:30
Cal-Rite H&E",Sanfelice4.svs,H&E,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Sanfelice 6:22
HCL H&E",Sanfelice5.svs,H&E,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Sanfelice 8:30
HCL H&E",Sanfelice6.svs,H&E,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Formal  3:45
Formic H&E 3/1/07",Formal7.svs,H&E,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"For - Alch 8:20
Formic Acid H&E",Formal8.svs,H&E,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Formal - Alc 3:45
Cal-Rite H&E",Formal9.svs,H&E,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"For. Alch 8:20
Cal-Rite H&E",Formal10.svs,H&E,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Formal - Alc 3:45
HCL H&E",Formal11.svs,H&E,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Formal - Alcohol 8:20
HCL H&E",Formal12.svs,H&E,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Meth 5:21 
Formic H&E",Methacarn13.svs,H&E,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Meth 8:35
Formic Ac H&E",Methacarn14.svs,H&E,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Meth 5:21 
Cal-Rite H&E",Methacarn15.svs,H&E,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Meth 8:35
Cal-Rite H&E",Methacarn16.svs,H&E,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Meth 5:21 
HCL H&E",Methacarn17.svs,H&E,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,H. Pylori Ctrl Steiner 3/9/07,H.Pylori18.svs,Steiner ,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Sanfelice 8:30
Formic Acid Steiner 3/9/07",Sanfelice20.svs,Steiner ,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Sanfelice 6:22
Cal-Rite Steiner 3/9/07",Sanfelice21.svs,Steiner ,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Sanfelice 8:30
Cal-Rite Steiner",Sanfelice22.svs,Steiner ,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Sanfelice 6:22
HCL ",Sanfelice23.svs,Steiner ,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Sanfelice 8:30
HCL Steiner 3/9/07",Sanfelice24.svs,Steiner ,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Form. Alco 3:45
Formic Steiner 3/9/07",Formal25.svs,Steiner ,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Form. Alcho 8:20
Formic Acid Steiner 3/9/07",Formal26.svs,Steiner ,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Form. Alch 8:20
Cal-Rite Steiner 3/9/07",Formal28.svs,Steiner ,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Formal-Alc. 3:45
HCL ",Formal29.svs,Steiner ,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Formal-Alcohol 8:20
HCL Steiner",Formal30.svs,Steiner ,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Methacarn 5:21
Formic Acid Steiner 3/9/07",Methacarn31.svs,Steiner ,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Meth.  8:35
Formic Ac. Steiner",Methacarn32.svs,Steiner ,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Methacarn 5:21
Cal-Rite Steiner 3/9/07",Methacarn33.svs,Steiner ,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Meth  8:35
Cal-Rite Steiner 3/9/07",Methacarn34.svs,Steiner ,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Porites,divaricata,"Meth 5:21
HCL Steiner",Methacarn35.svs,Steiner ,,,,,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIAMI FL," Kramarsky-Winter, Esti",Fungia ,scutaria ,B. Day 11/10/07,B-DAY.svs,H&E,,4% formalin in sea water,,June 1999,,,,N,,"Northern Red Sea Gulf of Aqaba (Eilat), Underwaterobservatory(fungiland)",Gonads are found along the mesentaries close to the actinopharynx. When fully developed (mature) they protrude into the gastrovascular cavity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROYAL NETHERLANDS INSTITUTE FOR SEA RESEARCH,Nugues & Delvoye,Acropora,cytherea,38 WS Band followed by Red Band,38WSBAND.svs,H&E,,Formaldehyde 5%,Rapid tissue loss; suspect white syndrome.,2007-10-14,,,,I,,"Coral Garden, Derawan Island, East Kalimantan, Indonesi ",Generalized infection of coral tissue by an unidentified endolithic fungus leading to large-scale apoptosis and necrosis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Cook Univ,"Sato, Yui",Montipora,hispida,14 Jan 08 CP H.E. Yui Sato 1,CP.HE.svs,H&E,,10% formalin in seawater,"Microbial aggregations containing cyanobacteria developing on lesions adjacent to apparently healthy coral tissue. Microbial aggregations expand progressively, causing tissue necrosis as the microbial layer advances. ",2008-01-14,,,,I,,"Pelorus Island, Northern sector of the GBR, Queensland, Australia ","Dense cyanobacterial populations grow in necrotic coral tissue, which may be caused by physical damage from penetration of cyanobacterial filaments and/or by other factors such as other pathogenic microorganisms and cyanobacterial toxin(s). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Cook Univ,"Palmer, Caroline",Porites,massive sp.,PM 3BTS H&E 89 C. Palmer,PM 3BTS.HE.svs,H&E,,4% Paraformaldehyde PBS,Pink discoloration of compromised tissue. ,March 2006,,,,,,"Pioneer Bay, Orpheus Island, Palm Islands, GBR ",General inflammation response induced by direct contact with foreign matter and associated microbial communities. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israeli Oceanographic & Limnological Research,"Raz-Bat, Michal",Stylophora,pistillata,BROKEN Slide,Mich.AB6.svs,Alcian blue at pH 3 with hematoxylin and eosin counterstain ,,Bouin�s,"The digestive system of the stony coral has not been investigated thoroughly. The literature describes the polyp�s digestive system schematically, as a blind sac divided into compartments by mesenteries lined with the gastrodermis and with numerous mucocytes. My study investigates, using various methods, the detailed microscopic anatomy and function of a coral�s digestive cavity. ",2007-05-03,,,,N,,"Gulf of Eilat (Red Sea), Israel Oceanographic and Limnological Research Laboratory ",Within normal limits ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Univ S. FL Diag Lab,"Berzin, Ilze",Montastraea,cavernosa,Mont ann Frag USF Diag Microscopy,MONT ANN FRAG.svs,H&E,,Z-Fix,Within normal limits ,Spring 2005,,,,N,,"Atlantic Ocean/Gulf of Mexico convergence area at Key West, Trumen Annex Navy boat docks, NOAA Key West Headquarters ",Within normal limits ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Univ S. FL Diag Lab,"Kilgore, Kathy",Montastraea,annularis,Mont Cav Frag 1 USF Diag Microscopy,MONT CAV FRAG 1.svs,H&E,,Z-Fix,Within normal limits ,Spring 2005,,,,N,,"Atlantic Ocean/Gulf of Mexico convergence area at Key West, Trumen Annex Navy boat docks, NOAA Key West Headquarters ",Within normal limits ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Univ S. FL Diag Lab,"Yanong, Roy",Montastraea,faveolata,Mont Fav Parent 1 deeper USFDiag Microscopy,MONT FAV PARENT.svs,H&E,,Z-Fix,Within normal limits ,Spring 2005,,,,N,,"Atlantic Ocean/Gulf of Mexico convergence area at Key West, Trumen Annex Navy boat docks, NOAA Key West Headquarters ",Within normal limits ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCRI - NOVA,"Renegar, Abby",Agaricia,agaricites,DSS D1 A. aga 1,DSS D1 A AGA 1.svs,Movat�s modified pentachrome ,,2% glutaraldehyde in sodium cacodylate buffered seawater ,Dark spot syndrome (DSS) ,June 2007,,,,I,,"Caribbean, Bahamas","Multifocal infection of unidentified microorganism, possibly a thraustochytrid or other Labyrinthulomycota (Azevedo & Corral 1997) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCRI - NOVA,"St. Gelais, Adam",Siderastrea,siderea,Hills RPN 377 S. sid 11-8-07 2,RPN 377 S.svs,Heidenhain�s azocarmine-aniline blue ,,Z-Fix,Potential bleaching in reproductively active species. ,2007-11-08,,,,N,,"North Atlantic, High Cover Site 2 (HC2), inshore reef, Broward County, Florida","Possible spawning event with resorption of unspawned ova into the gastrodermis, or complete resorption of oocytes and �skipped� spawning due to prolonged elevated temperatures. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCRI - NOVA,"Moulding, Alison",Madracis,decactis,Hills RPN 10-3-07 M. dec 315 1,RPN 315-1.svs,Heidenhain�s aniline blue ,,Z-Fix,Colony appeared healthy (within normal limits) ,2007-10-03,,,,N,,"AtlanticOcean, Broward County, Florida, at about 10 m depth",Spawning. The presence of sperm in the gastrovascular cavity indicates preparation for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA Southeastern Univ.,"Smith, Abraham",Acropora,cervicornis,SCI WBD RP 7-19-02 Sick?,01.svs,H&E,,Z-Fix,"Visible tissue loss starting near base of branches with algal colonization proximal to the margin of tissue loss, appears to be a slower-advancing type of white band syndrome. ",2002-07-19,,,,I,,"Southwestern Atlantic, Scooter, Fort Lauderdale, Florida, USA",Bacterial aggregates not present in this sample; cells look stressed but not as much as expected; a few oocytes look degraded. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA Southeastern Univ.,"Foster, Kristi",Porites,harrisoni,BVTN-59 13 Aug 07 P. harrisoni #2 HH,02.svs,Modified Heidenhain�s azocarmine-aniline blue ,,Z-Fix (1 part) and seawater (4 parts),No visible signs of heat stress or bleaching. Colonies appear healthy. ,2007-08-13,,,,N,,"Southeastern Arabian Gulf, Bu Tinah Island, Abu Dhabi, United Arab Emirates, approximately 3 m depth","Normal, unaffected by average summer maximum water temperature of 35�C (95�F) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,772,,2005 39-3 D5? 1,03.svs,,,,,,,,,,,,"6 = Coral parasites, pathogens, diseases ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,773,,2005-21 BCl2D4 1,04.svs,,,,,,,,,,,,"6 = Coral parasites, pathogens, diseases ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,774,,15440-5B Type 1 Rc,05.svs,,,,,,,,,,,,4 = Growth anomalies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,775,,15440-5A Type 1 Rc,06.svs,,,,,,,,,,,,4 = Growth anomalies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,779,,15440-22A Type-2 Rc,07.svs,,,,,,,,,,,,4 = Growth anomalies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,802,,15440-34B Type 3 Rc,08.svs,,,,,,,,,,,,4 = Growth anomalies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,803,,15440-34A Type 3 Rc,09.svs,,,,,,,,,,,,4 = Growth anomalies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Favia,fragum,8B-3064 ERLHU,10.svs,,,,,,,,,,,,3 = Reproduction ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Favia,fragum,83-3064 ERLHU,11.svs,,,,,,,,,,,,3 = Reproduction ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Siderastrea,siderea,80-1405 1 ERLHU,12.svs,,,,,,,,,,,,3 = Reproduction ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Millepora,sp.,83-3070 ERLHU,13.svs,,,,,,,,,,,,5 = Other species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Montastraea,annularis,LSI93115 HL P M CAV Oral Fix #1 coral,14.svs,,,,,,,,,,,,"1 = Fixation, staining comparative, Helly's Fixative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Montastraea,annularis,LSI93115 #1 STF L M CAV X SEC FIX Coral,15.svs,,,,,,,,,,,,"1 = Fixation, staining comparative Streck Tissue Fixative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Montastraea,annularis,LSI93115 HC L M CAV Oral Fix #1 Coral,16.svs,,,,,,,,,,,,"1 = Fixation, staining comparativeHistoChoice Fixative, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Montastraea,cavernosa,2001-83 1 SWF Pix H&E M. cavernosa,17.svs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Montastraea,cavernosa,2001-85 2-1 M. cavernosa CTR small lesion Helly's H&E,18.svs,,,,,,,,,,,,"1 = Fixation, staining comparative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Montastraea,cavernosa,2001-85 2-2 M. cavernosa CTR small lesion Helly's Cason's,19.svs,,,,,,,,,,,,"1 = Fixation, staining comparative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Sponge,species unknown,2001-87 1 H&E sponge,20.svs,,,,,,,,,,,,5 = Other species ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Sponge,species unknown,2001-87 2 Cason's sponge,21.svs,,,,,,,,,,,,5 = Other species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Porites,astreoides,83-254C 1 embryo & early larva ERLHU,22.svs,,,,,,,,,,,,3 = Reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Colpophyllia,natans,ERLHU 80-1318 2,23.svs,,,,,,,,,,,,"1 = Fixation, staining comparative ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Porites,porites,86-1 Base of colony (pink label),24.svs,,,,,,,,,,,,"1 = Fixation, staining comparative ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Porites,porites,86-1 Base of colony HAB,25.svs,,,,,,,,,,,,"1 = Fixation, staining comparative ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Dendrogyra,cylindrus,84-X15 2 ERLHU,26.svs,,,,,,,,,,,,"6 = Coral parasites, pathogens, diseases ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Porites,astreoides,LSI931107F POR AST #1 XSEC Bleach coral B (w/ arrow on slide),27.svs,,,,,,,,,,,,"6 = Coral parasites, pathogens, diseases",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Porites,astreoides,Corner of slide broken - LSI931 POR AST XSEC Bleach Coral,28.svs,,,,,,,,,,,,"6 = Coral parasites, pathogens, diseases",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Diploria,strigosa,82-1838 GrE Cbe Por ERLHU,29.svs,,,,,,,,,,,,"6 = Coral parasites, pathogens, diseases ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Porites,furcata,82-1596 ERLHU,30.svs,,,,,,,,,,,,"6 = Coral parasites, pathogens, diseases ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Acropora,palmata,ERLHU 81-207 3,31.svs,,,,,,,,,,,,"6 = Coral parasites, pathogens, diseases ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Dichocoenia,stokesii,86-68 Cason's,32.svs,,,,,,,,,,,,"6 = Coral parasites, pathogens, diseases ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Diploria,strigosa,80-1382 4 TMBB 2,33.svs,,,,,,,,,,,,"6 = Coral parasites, pathogens, diseases ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Montastraea,annularis,ERLHU 80-1412 4,34.svs,,,,,,,,,,,,"6 = Coral parasites, pathogens, diseases ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of the Ryukyus,Naoko Yasuda,Porites,australiensis,0-1,O-1.svs,,,,Skeletal anomaly,,,,,,,,4 = Growth anomalies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of the Ryukyus,Naoko Yasuda,Porites,australiensis,SA-1,SA-1.svs,,,,Skeletal anomaly,,,,,,,,4 = Growth anomalies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of the Ryukyus,Naoko Yasuda,Porites,australiensis,0-2,O-2.svs,,,,Skeletal anomaly,,,,,,,,4 = Growth anomalies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of the Ryukyus,Naoko Yasuda,Porites,australiensis,SA-2,SA-2.svs,,,,Skeletal anomaly,,,,,,,,4 = Growth anomalies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of the Ryukyus,Naoko Yasuda,Porites,australiensis,O-3,O-3.svs,,,,Skeletal anomaly,,,,,,,,4 = Growth anomalies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of the Ryukyus,Naoko Yasuda,Porites,australiensis,SA-3,SA-3.svs,,,,Skeletal anomaly,,,,,,,,4 = Growth anomalies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of the Ryukyus,Naoko Yasuda,Porites,australiensis,O-4,O-4.svs,,,,Skeletal anomaly,,,,,,,,4 = Growth anomalies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of the Ryukyus,Naoko Yasuda,Porites,australiensis,SA-4,SA-4.svs,,,,Skeletal anomaly,,,,,,,,4 = Growth anomalies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMU,Esther Peters,Gorgonia,ventalina,Sea Fan S-3 Decu1,Sea Fan.svs,,,,15-Katharine Holder,,,,,,,,5 = Other speciesb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thierry Work,Porites,sp.,20756-104A,1593.svs,H&E,,Zfix-CalexII-Paraffin-5 um,Discoloration,2006-01-28,,,Colony fragment,N,Disease survey,"Vatiadf, Tutuila",Inflammation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thierry Work,Porites,sp.,20756-105A,1594.svs,H&E,,Zfix-CalexII-Paraffin-5 um,Discoloration,2006-01-28,,,Colony fragment,N,Disease survey,"Vatiadf, Tutuila",Necrosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
