Source,Contributor,Genus,Species,Slide Number/Description,Aperio Filename,Stain,Accession Number,Processing,Comments,Date Collected,Date Received,Date Sent To Aperio,Sample,Infect/Non,Study,Collection Site,Histopathologic Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,33,Astreo 33.svs,Bodian,2007Stain012,,"Astreo Healthy
D Bodian",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,36,Astreo 36.svs,Movat,2007Stain013,,"Astreo Healthy
Movat",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,38,Astreo 38.svs,Movat,2007Stain014,,"Astreo Healthy
D Movat",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,41,Astreo 41.svs,Schmorl,2007Stain015,,"Astreo Healthy
Schmorl",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,43,Astreo 43.svs,Schmorl,2007Stain016,,"Astreo Healthy
Schmorl",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,46,Astreo 46.svs,MG-P,2007Stain017,,"Astreo Healthy
MGP",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,48,Astreo 48.svs,MG-P,2007Stain018,,"Astreo Healthy
MGP",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,51,Astreo 51.svs,Gram Twort,2007Stain019,,"Astreo Healthy
gram Twort",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,53,Astreo 53.svs,Gram Twort,2007Stain020,,"Astreo Healthy
D gram Twort",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,56,Astreo 56.svs,B&B,2007Stain021,,"Astreo Healthy
B&B",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,58,Astreo 58.svs,B&B,2007Stain022,,"Astreo Healthy
D B&B",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,1,Astreo 01.svs,H&E,2007Stain023,,"Astreo Healthy
D H&E",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,2,Astreo Healthy Steiner 02.svs,Steiner,2007Stain024,,"Astreo Healthy
Steiner",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,2,Astreo Dis A Steiner 02.svs,Steiner,2007Stain025,,"Astreo Healthy
D Steiner",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,9,Astreo 09.svs,Iron,2007Stain026,,"Astreo Dis. A
Iron",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,14,Astreo 14.svs,Hall's Bile,2007Stain027,,"Astreo Dis. A
Hall's",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,19,Astreo 19.svs,Masson,2007Stain028,,"Astreo Dis. A
Masson",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,24,Astreo 24.svs,Rhodanine,2007Stain029,,"Astreo Dis. A
Rhodanine 3/1/07",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
